mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,Sex,Age_Class
-1.34E-05,0.288675134,0.499973172,-0.5,-1.34E-05,-5.75E-17,-1.200000002,-0.250006707,0.249979879,-0.5,0.499986586,40.774178,0.03307422,3285,143.5546875,-8.779911,-421.55716,137.65997,0.30333263,2588.28238,2854.864594,5689.485231,Female,0
-7.95E-18,0.288675135,0.499988218,-0.499988218,0,1.18E-17,-1.200000001,-0.249994109,0.249994109,-0.499988218,0.499988218,129.64946,0.055272996,3427,172.265625,-5.2277937,-416.82227,179.63434,0.38115615,2156.34576,2531.463857,4343.869717,Male,1
-7.51E-18,0.288675134,0.499983492,-0.499983492,0,-8.29E-17,-1.200000003,-0.249991746,0.249991746,-0.499983492,0.499983492,47.58006,0.039634194,2007,151.9990809,-6.0727744,-489.33273,183.00641,0.38319188,2132.823376,2619.002606,4744.482422,Male,1
-6.80E-18,0.288675134,0.499985508,-0.499985508,0,2.09E-17,-1.200000002,-0.249992754,0.249992754,-0.499985508,0.499985508,145.37045,0.06491159,4978,99.38401442,-5.4159756,-417.5413,165.17581,0.3471331,2748.92766,2596.387041,5375.85916,Male,1
-1.93E-05,0.288675134,0.499961408,-0.5,-1.93E-05,-1.26E-16,-1.200000004,-0.250009648,0.249971056,-0.5,0.499980704,95.10304,0.060582437,3428,151.9990809,-5.215906,-353.3514,168.71687,0.35664618,2465.841804,2382.84542,4593.75,Male,1
-1.41E-17,0.288675134,0.499981579,-0.499981579,0,7.35E-17,-1.200000003,-0.24999079,0.24999079,-0.499981579,0.499981579,142.22829,0.07238758,2277,172.265625,-3.1310992,-431.1438,177.16002,0.39542034,1935.895378,2365.55323,3855.041504,Male,1
-9.14E-06,0.288675135,0.499981714,-0.5,-9.14E-06,1.55E-16,-1.200000001,-0.250004571,0.249986286,-0.5,0.499990857,111.712975,0.045196604,4738,143.5546875,-7.262199,-551.37805,180.61285,0.49621782,2442.19041,2512.866407,5147.341149,Male,1
-1.53E-05,0.288675134,0.499969357,-0.5,-1.53E-05,7.24E-17,-1.200000002,-0.250007661,0.249977018,-0.5,0.499984679,4.745321,0.01205862,4201,123.046875,-8.495088,-452.8055,110.46536,0.44651952,3363.58231,3019.620598,7031.600189,Female,0
1.15E-17,0.288675135,0.499987408,-0.499987408,0,-7.07E-17,-1.200000002,-0.249993704,0.249993704,-0.499987408,0.499987408,15.51495,0.01976704,1917,129.1992188,-14.211263,-556.61707,183.85693,0.3085878,1677.984486,2059.447704,3579.618953,Female,1
-1.65E-05,0.288675134,0.499967008,-0.5,-1.65E-05,-2.14E-16,-1.200000003,-0.250008248,0.249975256,-0.5,0.499983504,19.537867,0.025389,1363,86.1328125,-15.301416,-632.7786,181.74945,0.27413306,1547.766347,1853.293824,3262.998047,Female,1
-1.22E-05,0.288675135,0.499975517,-0.5,-1.22E-05,4.16E-17,-1.200000001,-0.250006121,0.249981637,-0.5,0.499987758,24.651634,0.024567373,2559,143.5546875,-13.915069,-589.746,178.25632,0.30438742,2256.778804,2287.263107,4563.82782,Female,1
-1.90E-05,0.288675134,0.499961971,-0.5,-1.90E-05,7.45E-17,-1.200000003,-0.250009507,0.249971479,-0.5,0.499980986,31.29062,0.034495484,1995,184.5703125,-11.614594,-572.3191,204.55035,0.3489865,1845.314823,2044.76494,3622.340276,Female,1
-1.79E-05,0.288675134,0.499964194,-0.5,-1.79E-05,-4.60E-16,-1.200000003,-0.250008952,0.249973145,-0.5,0.499982097,19.83445,0.026649566,1059,135.9991776,-14.478102,-608.1083,181.39294,0.29996222,1523.457614,2111.973742,3399.113991,Female,1
-6.36E-18,0.288675135,0.499990682,-0.499990682,0,-5.65E-17,-1.200000001,-0.249995341,0.249995341,-0.499990682,0.499990682,132.58298,0.04970665,4233,135.9991776,-6.161918,-415.7097,163.79877,0.4928303,2832.592212,2928.90375,6091.845703,Male,1
-1.30E-05,0.288675134,0.499973969,-0.5,-1.30E-05,-1.44E-17,-1.200000002,-0.250006508,0.249980477,-0.5,0.499986985,75.94715,0.044463094,2921,112.3471467,-7.9348145,-555.9027,203.9363,0.40587106,1685.750318,1804.880308,3328.579873,Male,1
4.50E-18,0.288675134,0.499986808,-0.499986808,0,-3.17E-17,-1.200000002,-0.249993404,0.249993404,-0.499986808,0.499986808,124.37804,0.057285737,2573,99.38401442,-6.525116,-439.16138,153.61311,0.3658779,2114.157844,2338.571675,4420.048828,Male,0
-1.90E-05,0.288675134,0.499961951,-0.5,-1.90E-05,-6.53E-17,-1.200000003,-0.250009512,0.249971463,-0.5,0.499980976,181.70312,0.08314803,1523,123.046875,-5.5506625,-421.26068,180.04251,0.30833855,1855.384302,2210.687464,3953.206224,Male,0
0,0.288675134,0.499984111,-0.499984111,0,-3.29E-17,-1.200000002,-0.249992056,0.249992056,-0.499984111,0.499984111,307.09637,0.09878611,2805,112.3471467,-4.468679,-434.99478,167.00275,0.33297426,2290.134856,2401.750999,4739.735856,Male,0
4.14E-18,0.288675134,0.499981811,-0.499981811,0,2.00E-17,-1.200000003,-0.249990905,0.249990905,-0.499981811,0.499981811,534.47614,0.13943914,2525,103.359375,-3.096486,-444.07773,176.76134,0.42888972,2269.425209,2365.771178,4798.714193,Male,0
-1.75E-05,0.288675134,0.499965001,-0.5,-1.75E-05,-2.86E-16,-1.200000003,-0.25000875,0.249973751,-0.5,0.4999825,1155.0438,0.2010615,1685,172.265625,-2.1015952,-438.27283,174.5116,0.32961828,1814.577101,2143.194817,3874.053955,Male,0
-1.19E-17,0.288675134,0.499986906,-0.499986906,0,3.77E-17,-1.200000002,-0.249993453,0.249993453,-0.499986906,0.499986906,107.25807,0.052999113,3397,143.5546875,-4.7400637,-428.19882,178.8028,0.4561499,2386.002689,2525.311504,4959.814453,Male,0
-1.25E-05,0.288675135,0.499975004,-0.5,-1.25E-05,-7.75E-17,-1.200000001,-0.250006249,0.249981253,-0.5,0.499987502,19.668629,0.022173,2065,112.3471467,-13.327964,-627.85815,175.39807,0.36211604,1879.733987,2201.570376,3744.051622,Female,0
-1.94E-05,0.288675134,0.499961129,-0.5,-1.94E-05,1.47E-16,-1.200000004,-0.250009718,0.249970847,-0.5,0.499980564,22.990826,0.02989449,1829,135.9991776,-13.6985855,-528.2566,182.45619,0.2808738,1854.486929,2171.08571,3636.57801,Female,0
-4.96E-18,0.288675134,0.499984991,-0.499984991,0,4.39E-17,-1.200000002,-0.249992495,0.249992495,-0.499984991,0.499984991,27.737474,0.028855365,4143,117.4538352,-10.1645355,-476.8609,180.15605,0.29245728,2674.950358,2425.41419,5016.094416,Female,0
9.63E-18,0.288675134,0.499978832,-0.499978832,0,3.75E-17,-1.200000004,-0.249989416,0.249989416,-0.499978832,0.499978832,29.43687,0.035301786,2105,117.4538352,-9.767521,-469.48575,173.3211,0.3554243,2233.836182,2374.509272,4310.305851,Female,0
-2.13E-05,0.288675134,0.499957447,-0.5,-2.13E-05,3.77E-17,-1.200000004,-0.250010638,0.249968085,-0.5,0.499978723,28.667267,0.03492683,1531,161.4990234,-11.534315,-513.2965,179.84924,0.28862855,1928.483719,2374.390959,3743.734609,Female,0
-8.33E-06,0.288675135,0.499983342,-0.5,-8.33E-06,2.93E-16,-1.200000001,-0.250004165,0.249987506,-0.5,0.499991671,13.775975,0.015148757,5697,123.046875,-9.2879305,-492.8309,107.0142,0.41767186,3606.998758,3158.163791,7540.727001,Male,1
-1.04E-05,0.288675135,0.499979181,-0.5,-1.04E-05,2.18E-16,-1.200000001,-0.250005205,0.249984385,-0.5,0.49998959,356.44513,0.086145185,2707,135.9991776,-4.844636,-426.8602,179.90936,0.41093677,1875.983122,2490.548961,4038.620969,Male,1
1.36E-17,0.288675134,0.499985004,-0.499985004,0,2.66E-17,-1.200000002,-0.249992502,0.249992502,-0.499985004,0.499985004,211.22552,0.079592265,1931,135.9991776,-5.843238,-497.34515,195.69708,0.31285545,1701.483813,2300.357056,3371.903853,Male,1
-1.96E-18,0.288675135,0.499988511,-0.499988511,0,3.05E-17,-1.200000001,-0.249994256,0.249994256,-0.499988511,0.499988511,410.2392,0.0970888,3639,161.4990234,-5.254032,-492.18137,176.86485,0.36700007,2082.337392,2498.616784,4047.365836,Male,1
